Frequency (Hz),Amplitude (dBm)
465015698.5,-83.78
465024158.7,-90.59
465032618.9,-88.81
465041079.2,-73.83
465049539.4,-70.85
465057999.6,-77.47
465066459.9,-84.57
465074920.1,-79.54
465083380.4,-83.95
465091840.6,-85.83
465100300.8,-87.94
465108761.1,-79.93
465117221.3,-79.58
465125681.5,-86.04
465134141.8,-86.47
465142602.0,-71.47
465151062.3,-75.53
465159522.5,-83.25
465167982.7,-80.45
465176443.0,-78.77
465184903.2,-84.53
465193363.4,-90.49
465201823.7,-84.23
465210283.9,-82.21
465218744.1,-76.34
465227204.4,-76.88
465235664.6,-78.65
465244124.9,-77.98
465252585.1,-85.18
465261045.3,-82.19
465269505.6,-79.83
465277965.8,-81.93
465286426.0,-91.41
465294886.3,-79.25
465303346.5,-78.99
465311806.8,-85.26
465320267.0,-80.24
465328727.2,-75.01
465337187.5,-78.65
465345647.7,-86.35
465354107.9,-77.94
465362568.2,-79.46
465371028.4,-82.32
465379488.6,-91.15
465387948.9,-69.07
465396409.1,-69.41
465404869.4,-76.38
465413329.6,-82.94
465421789.8,-80.47
465430250.1,-78.94
465438710.3,-85.76
465447170.5,-91.20
465455630.8,-85.02
465464091.0,-81.20
465472551.3,-79.35
465481011.5,-84.02
465489471.7,-82.04
465497932.0,-77.86
465506392.2,-81.28
465514852.4,-81.14
465523312.7,-81.50
465531772.9,-77.82
465540233.1,-77.74
465548693.4,-78.00
465557153.6,-81.62
465565613.9,-86.42
465574074.1,-79.43
465582534.3,-73.97
465590994.6,-78.36
465599454.8,-82.05
465607915.0,-81.03
465616375.3,-79.41
465624835.5,-81.45
465633295.8,-84.05
465641756.0,-80.36
465650216.2,-78.78
465658676.5,-96.15
465667136.7,-81.21
465675596.9,-77.30
465684057.2,-81.58
465692517.4,-82.26
465700977.6,-69.55
465709437.9,-77.93
465717898.1,-78.20
465726358.4,-83.41
465734818.6,-82.16
465743278.8,-76.35
465751739.1,-78.50
465760199.3,-83.71
465768659.5,-77.87
465777119.8,-77.85
465785580.0,-82.73
465794040.3,-85.11
465802500.5,-81.08
465810960.7,-77.65
465819421.0,-77.38
465827881.2,-75.35
465836341.4,-75.05
465844801.7,-75.85
465853261.9,-77.63
465861722.1,-69.40
465870182.4,-68.91
465878642.6,-76.45
465887102.9,-83.12
465895563.1,-76.20
465904023.3,-80.70
465912483.6,-85.74
465920943.8,-81.59
465929404.0,-74.89
465937864.3,-76.63
465946324.5,-81.66
465954784.8,-80.75
465963245.0,-76.67
465971705.2,-93.11
465980165.5,-80.20
465988625.7,-81.59
465997085.9,-77.36
466005546.2,-77.33
466014006.4,-78.69
466022466.6,-75.88
466030926.9,-77.77
466039387.1,-80.19
466047847.4,-78.54
466056307.6,-79.78
466064767.8,-77.56
466073228.1,-78.52
466081688.3,-76.65
466090148.5,-75.03
466098608.8,-78.65
466107069.0,-74.34
466115529.3,-67.46
466123989.5,-66.89
466132449.7,-75.27
466140910.0,-83.59
466149370.2,-81.70
466157830.4,-77.88
466166290.7,-74.35
466174750.9,-76.08
466183211.2,-74.85
466191671.4,-76.61
466200131.6,-72.91
466208591.9,-66.49
466217052.1,-66.34
466225512.3,-71.94
466233972.6,-80.64
466242432.8,-76.88
466250893.0,-76.83
466259353.3,-75.57
466267813.5,-77.23
466276273.8,-74.22
466284734.0,-73.29
466293194.2,-62.73
466301654.5,-73.18
466310114.7,-73.29
466318574.9,-77.32
466327035.2,-81.97
466335495.4,-75.30
466343955.7,-74.37
466352415.9,-79.91
466360876.1,-78.84
466369336.4,-69.47
466377796.6,-73.48
466386256.8,-78.34
466394717.1,-74.78
466403177.3,-75.64
466411637.5,-75.87
466420097.8,-80.55
466428558.0,-76.97
466437018.3,-82.00
466445478.5,-78.48
466453938.7,-64.93
466462399.0,-64.87
466470859.2,-65.14
466479319.4,-73.46
466487779.7,-79.08
466496239.9,-75.03
466504700.2,-75.35
466513160.4,-79.64
466521620.6,-72.99
466530080.9,-71.24
466538541.1,-71.37
466547001.3,-74.53
466555461.6,-73.51
466563921.8,-73.12
466572382.0,-73.77
466580842.3,-72.98
466589302.5,-72.91
466597762.8,-73.98
466606223.0,-75.05
466614683.2,-65.72
466623143.5,-63.41
466631603.7,-63.93
466640063.9,-71.37
466648524.2,-75.96
466656984.4,-73.27
