Frequency (Hz),Amplitude (dBm)
465015698.5,-89.76
465024158.7,-93.22
465032618.9,-92.66
465041079.2,-92.26
465049539.4,-90.23
465057999.6,-89.84
465066459.9,-78.98
465074920.1,-73.12
465083380.4,-83.81
465091840.6,-80.67
465100300.8,-76.04
465108761.1,-83.06
465117221.3,-70.42
465125681.5,-91.43
465134141.8,-95.77
465142602.0,-91.41
465151062.3,-91.59
465159522.5,-90.73
465167982.7,-91.81
465176443.0,-95.25
465184903.2,-91.67
465193363.4,-89.16
465201823.7,-92.20
465210283.9,-94.35
465218744.1,-89.85
465227204.4,-95.05
465235664.6,-89.63
465244124.9,-97.68
465252585.1,-90.58
465261045.3,-92.55
465269505.6,-69.92
465277965.8,-72.64
465286426.0,-80.60
465294886.3,-81.20
465303346.5,-77.80
465311806.8,-74.26
465320267.0,-80.90
465328727.2,-95.04
465337187.5,-88.28
465345647.7,-92.23
465354107.9,-91.92
465362568.2,-90.73
465371028.4,-94.22
465379488.6,-91.02
465387948.9,-87.04
465396409.1,-90.26
465404869.4,-90.18
465413329.6,-90.86
465421789.8,-84.80
465430250.1,-85.34
465438710.3,-90.58
465447170.5,-90.50
465455630.8,-95.93
465464091.0,-89.67
465472551.3,-71.44
465481011.5,-73.19
465489471.7,-74.10
465497932.0,-78.64
465506392.2,-70.67
465514852.4,-76.09
465523312.7,-73.10
465531772.9,-79.94
465540233.1,-89.80
465548693.4,-95.73
465557153.6,-94.28
465565613.9,-92.16
465574074.1,-95.90
465582534.3,-92.92
465590994.6,-95.34
465599454.8,-93.06
465607915.0,-96.42
465616375.3,-90.14
465624835.5,-93.58
465633295.8,-94.15
465641756.0,-91.94
465650216.2,-93.85
465658676.5,-87.44
465667136.7,-92.46
465675596.9,-89.28
465684057.2,-71.67
465692517.4,-76.19
465700977.6,-83.84
465709437.9,-77.31
465717898.1,-73.22
465726358.4,-77.48
465734818.6,-74.32
465743278.8,-92.49
465751739.1,-93.94
465760199.3,-93.94
465768659.5,-92.17
465777119.8,-97.05
465785580.0,-95.51
465794040.3,-89.86
465802500.5,-89.95
465810960.7,-94.94
465819421.0,-96.48
465827881.2,-100.43
465836341.4,-94.88
465844801.7,-91.28
465853261.9,-92.75
465861722.1,-94.52
465870182.4,-91.88
465878642.6,-97.40
465887102.9,-74.08
465895563.1,-71.72
465904023.3,-73.78
465912483.6,-77.39
465920943.8,-72.05
465929404.0,-74.40
465937864.3,-73.42
465946324.5,-92.77
465954784.8,-94.23
465963245.0,-90.43
465971705.2,-90.54
465980165.5,-91.31
465988625.7,-93.70
465997085.9,-93.89
466005546.2,-94.41
466014006.4,-93.19
466022466.6,-91.40
466030926.9,-95.25
466039387.1,-88.97
466047847.4,-89.34
466056307.6,-94.10
466064767.8,-93.91
466073228.1,-87.73
466081688.3,-74.06
466090148.5,-81.90
466098608.8,-74.74
466107069.0,-72.68
466115529.3,-70.42
466123989.5,-74.73
466132449.7,-71.22
466140910.0,-86.03
466149370.2,-89.58
466157830.4,-87.60
466166290.7,-92.86
466174750.9,-91.64
466183211.2,-93.91
466191671.4,-96.28
466200131.6,-94.68
466208591.9,-97.55
466217052.1,-97.24
466225512.3,-96.16
466233972.6,-91.45
466242432.8,-95.45
466250893.0,-90.55
466259353.3,-94.31
466267813.5,-94.58
466276273.8,-75.38
466284734.0,-73.04
466293194.2,-70.33
466301654.5,-75.18
466310114.7,-76.01
466318574.9,-66.09
466327035.2,-70.23
466335495.4,-73.09
466343955.7,-92.51
466352415.9,-88.10
466360876.1,-93.04
466369336.4,-91.53
466377796.6,-91.43
466386256.8,-92.02
466394717.1,-96.17
466403177.3,-88.80
466411637.5,-88.85
466420097.8,-95.14
466428558.0,-93.06
466437018.3,-87.29
466445478.5,-94.55
466453938.7,-97.72
466462399.0,-94.23
466470859.2,-90.26
466479319.4,-74.41
466487779.7,-73.26
466496239.9,-74.21
466504700.2,-72.60
466513160.4,-68.96
466521620.6,-67.77
466530080.9,-65.72
466538541.1,-75.14
466547001.3,-93.18
466555461.6,-91.47
466563921.8,-84.79
466572382.0,-87.61
466580842.3,-86.90
466589302.5,-85.91
466597762.8,-93.10
466606223.0,-95.15
466614683.2,-94.55
466623143.5,-92.22
466631603.7,-92.78
466640063.9,-94.11
466648524.2,-78.85
466656984.4,-90.88
466665444.7,-89.89
466673904.9,-78.09
466682365.1,-67.60
466690825.4,-67.98
466699285.6,-68.21
466707745.8,-73.10
466716206.1,-68.11
466724666.3,-65.60
466733126.5,-65.59
466741586.8,-80.97
466750047.0,-93.20
466758507.3,-92.50
466766967.5,-94.47
466775427.7,-93.76
466783888.0,-90.15
466792348.2,-89.85
466800808.4,-92.27
466809268.7,-94.68
466817728.9,-93.99
466826189.2,-90.23
466834649.4,-88.59
466843109.6,-89.79
466851569.9,-95.50
466860030.1,-93.05
466868490.3,-92.26
466876950.6,-93.93
466885410.8,-73.69
466893871.0,-80.55
466902331.3,-83.79
466910791.5,-67.58
466919251.8,-73.00
466927712.0,-66.71
466936172.2,-68.14
466944632.5,-81.94
466953092.7,-94.09
466961552.9,-90.79
466970013.2,-92.05
466978473.4,-89.58
466986933.7,-86.32
466995393.9,-89.12
467003854.1,-87.81
467012314.4,-87.88
467020774.6,-89.89
467029234.8,-89.67
467037695.1,-84.58
467046155.3,-91.54
467054615.5,-89.68
467063075.8,-80.38
467071536.0,-82.16
467079996.3,-85.21
467088456.5,-68.18
467096916.7,-72.63
467105377.0,-70.78
467113837.2,-65.89
467122297.4,-67.92
467130757.7,-70.76
467139217.9,-70.26
467147678.2,-81.15
467156138.4,-84.71
467164598.6,-88.57
467173058.9,-86.69
467181519.1,-83.46
467189979.3,-85.84
467198439.6,-87.26
467206899.8,-88.97
467215360.1,-84.91
467223820.3,-84.80
467232280.5,-86.27
467240740.8,-86.19
467249201.0,-83.80
467257661.2,-88.89
467266121.5,-86.44
467274581.7,-85.27
467283041.9,-70.09
467291502.2,-66.55
467299962.4,-69.52
467308422.7,-65.57
467316882.9,-64.97
467325343.1,-64.70
467333803.4,-67.36
467342263.6,-65.01
467350723.8,-80.57
467359184.1,-80.41
467367644.3,-77.06
467376104.6,-76.32
467384564.8,-76.33
467393025.0,-71.88
467401485.3,-69.48
467409945.5,-65.93
467418405.7,-64.03
467426866.0,-61.86
467435326.2,-59.56
467443786.4,-57.41
467452246.7,-56.09
467460706.9,-54.64
467469167.2,-53.77
467477627.4,-53.25
467486087.6,-53.05
467494547.9,-49.78
467503008.1,-47.71
467511468.3,-45.00
467519928.6,-43.72
467528388.8,-43.23
467536849.1,-42.83
467545309.3,-45.11
467553769.5,-47.66
467562229.8,-48.25
467570690.0,-46.48
467579150.2,-45.59
467587610.5,-44.97
467596070.7,-44.71
467604530.9,-44.74
467612991.2,-45.03
467621451.4,-45.72
467629911.7,-46.64
467638371.9,-47.91
467646832.1,-49.71
467655292.4,-51.57
467663752.6,-54.45
467672212.8,-57.77
467680673.1,-60.97
467689133.3,-58.38
467697593.6,-59.80
467706053.8,-66.33
467714514.0,-61.59
467722974.3,-62.85
467731434.5,-62.85
467739894.7,-60.99
467748355.0,-72.72
467756815.2,-79.26
467765275.4,-81.05
467773735.7,-82.20
467782195.9,-81.64
467790656.2,-81.73
467799116.4,-81.37
467807576.6,-84.13
467816036.9,-84.42
467824497.1,-87.49
467832957.3,-84.20
467841417.6,-86.32
467849877.8,-85.06
467858338.1,-85.33
467866798.3,-81.42
467875258.5,-81.76
467883718.8,-87.70
467892179.0,-70.30
467900639.2,-62.31
467909099.5,-62.25
467917559.7,-70.27
467926019.9,-70.39
467934480.2,-65.30
467942940.4,-70.85
467951400.7,-84.10
467959860.9,-87.10
467968321.1,-85.85
467976781.4,-89.26
467985241.6,-88.61
467993701.8,-83.09
468002162.1,-86.14
468010622.3,-90.31
468019082.6,-83.00
468027542.8,-81.85
468036003.0,-82.84
468044463.3,-87.56
468052923.5,-85.03
468061383.7,-90.39
468069844.0,-87.66
468078304.2,-84.27
468086764.5,-85.61
468095224.7,-69.93
468103684.9,-69.90
468112145.2,-70.99
468120605.4,-71.75
468129065.6,-66.62
468137525.9,-68.20
468145986.1,-64.77
468154446.3,-81.97
468162906.6,-85.69
468171366.8,-75.62
468179827.1,-97.45
468188287.3,-94.31
468196747.5,-97.33
468205207.8,-91.48
468213668.0,-90.59
468222128.2,-89.96
468230588.5,-75.75
468239048.7,-94.70
468247509.0,-92.45
468255969.2,-75.69
468264429.4,-75.69
468272889.7,-91.27
468281349.9,-96.27
468289810.1,-92.08
468298270.4,-68.97
468306730.6,-69.82
468315190.8,-75.82
468323651.1,-66.93
468332111.3,-73.28
468340571.6,-68.88
468349031.8,-69.60
468357492.0,-87.45
468365952.3,-93.61
468374412.5,-93.44
468382872.7,-95.94
468391333.0,-89.61
468399793.2,-89.79
468408253.5,-96.17
468416713.7,-93.39
468425173.9,-97.18
468433634.2,-93.03
468442094.4,-90.39
468450554.6,-90.28
468459014.9,-90.63
468467475.1,-90.74
468475935.3,-96.97
468484395.6,-95.34
